state_name,year,quarter_file,total_insurance_transactions,total_insurance_amount
madhya-pradesh,2020,4.json,10653,4897124
chhattisgarh,2023,2.json,10514,16389610
uttarakhand,2024,3.json,10487,17860144
chhattisgarh,2023,1.json,10460,16577191
uttarakhand,2024,2.json,10311,17754447
tamil-nadu,2020,4.json,10290,8993575
west-bengal,2020,4.json,10233,7510455
uttarakhand,2023,4.json,10040,19045152
gujarat,2020,4.json,9990,6055037
bihar,2020,4.json,9913,7860932
uttar-pradesh,2020,2.json,9884,1912266
bihar,2020,3.json,9733,2161102
delhi,2020,4.json,9725,8045442
odisha,2022,1.json,9627,14539309
kerala,2021,2.json,9530,9676588
jharkhand,2022,2.json,9477,13464840
jharkhand,2022,1.json,9373,13819466
assam,2022,2.json,9228,15357811
punjab,2022,2.json,9175,15465367
odisha,2021,4.json,9093,10941626
jammu-&-kashmir,2024,4.json,8893,18252110
chhattisgarh,2022,3.json,8849,12119470
kerala,2020,3.json,8811,2830361
uttarakhand,2022,4.json,8750,13817747
assam,2021,4.json,8622,13962068
jharkhand,2021,4.json,8465,11190423
haryana,2020,4.json,8283,5974278
odisha,2021,1.json,8236,4383330
uttarakhand,2023,2.json,8051,14034915
tamil-nadu,2020,3.json,8026,2257373
odisha,2021,3.json,7967,6008686
odisha,2021,2.json,7942,5832924
uttarakhand,2023,3.json,7856,12636749
gujarat,2020,2.json,7697,1430591
west-bengal,2020,2.json,7619,1432764
jammu-&-kashmir,2024,3.json,7597,15554635
delhi,2020,3.json,7588,1927285
uttarakhand,2023,1.json,7552,13599026
odisha,2020,4.json,7526,4208701
punjab,2022,1.json,7475,13155682
jammu-&-kashmir,2024,2.json,7397,14237707
jammu-&-kashmir,2024,1.json,7313,14695182
haryana,2020,3.json,7139,1884868
chhattisgarh,2022,2.json,7008,10119964
jharkhand,2021,3.json,6794,7046048
uttarakhand,2022,3.json,6784,10070172
himachal-pradesh,2024,4.json,6697,14090523
goa,2024,4.json,6662,9903374
punjab,2021,4.json,6638,9912828
chhattisgarh,2022,1.json,6612,10139190
haryana,2020,2.json,6321,1179814
madhya-pradesh,2020,2.json,6283,1198701
jammu-&-kashmir,2023,4.json,6264,13932309
chhattisgarh,2021,4.json,6029,8229039
uttarakhand,2022,2.json,5773,9168313
kerala,2021,1.json,5731,5040506
uttarakhand,2021,4.json,5529,7849020
kerala,2020,4.json,5479,4445525
tamil-nadu,2020,2.json,5473,1075552
jammu-&-kashmir,2023,3.json,5453,10975874
himachal-pradesh,2024,1.json,5430,10433254
rajasthan,2020,2.json,5373,1095933
jharkhand,2020,3.json,5368,1349934
goa,2024,3.json,5354,8051690
uttarakhand,2022,1.json,5339,8824948
