state_name,year,quarter_file,total_transactions,previous_quarter_transactions
chhattisgarh,2022,3.json,158252587,116584048
chhattisgarh,2022,4.json,177960446,158252587
chhattisgarh,2023,1.json,214748957,177960446
chhattisgarh,2023,2.json,249931636,214748957
chhattisgarh,2023,3.json,283492657,249931636
chhattisgarh,2023,4.json,321876332,283492657
chhattisgarh,2024,1.json,366176684,321876332
chhattisgarh,2024,2.json,412047705,366176684
chhattisgarh,2024,3.json,443640102,412047705
chhattisgarh,2024,4.json,500655404,443640102
dadra-&-nagar-haveli-&-daman-&-diu,2018,1.json,148549,NULL
dadra-&-nagar-haveli-&-daman-&-diu,2018,2.json,202626,148549
dadra-&-nagar-haveli-&-daman-&-diu,2018,3.json,289575,202626
dadra-&-nagar-haveli-&-daman-&-diu,2018,4.json,404082,289575
dadra-&-nagar-haveli-&-daman-&-diu,2019,1.json,661814,404082
dadra-&-nagar-haveli-&-daman-&-diu,2019,2.json,489656,661814
dadra-&-nagar-haveli-&-daman-&-diu,2019,3.json,638751,489656
dadra-&-nagar-haveli-&-daman-&-diu,2019,4.json,768971,638751
dadra-&-nagar-haveli-&-daman-&-diu,2020,1.json,878579,768971
dadra-&-nagar-haveli-&-daman-&-diu,2020,2.json,973152,878579
dadra-&-nagar-haveli-&-daman-&-diu,2020,3.json,1138312,973152
dadra-&-nagar-haveli-&-daman-&-diu,2020,4.json,1817791,1138312
dadra-&-nagar-haveli-&-daman-&-diu,2021,1.json,1925244,1817791
dadra-&-nagar-haveli-&-daman-&-diu,2021,2.json,2125083,1925244
dadra-&-nagar-haveli-&-daman-&-diu,2021,3.json,3129470,2125083
dadra-&-nagar-haveli-&-daman-&-diu,2021,4.json,4157085,3129470
dadra-&-nagar-haveli-&-daman-&-diu,2022,1.json,4802803,4157085
dadra-&-nagar-haveli-&-daman-&-diu,2022,2.json,5759771,4802803
dadra-&-nagar-haveli-&-daman-&-diu,2022,3.json,6465621,5759771
dadra-&-nagar-haveli-&-daman-&-diu,2022,4.json,7189585,6465621
dadra-&-nagar-haveli-&-daman-&-diu,2023,1.json,11803985,7189585
dadra-&-nagar-haveli-&-daman-&-diu,2023,2.json,13357115,11803985
dadra-&-nagar-haveli-&-daman-&-diu,2023,3.json,15370328,13357115
dadra-&-nagar-haveli-&-daman-&-diu,2023,4.json,18302373,15370328
dadra-&-nagar-haveli-&-daman-&-diu,2024,1.json,21115009,18302373
dadra-&-nagar-haveli-&-daman-&-diu,2024,2.json,23393115,21115009
dadra-&-nagar-haveli-&-daman-&-diu,2024,3.json,25446270,23393115
dadra-&-nagar-haveli-&-daman-&-diu,2024,4.json,28463700,25446270
delhi,2018,1.json,7122754,NULL
delhi,2018,2.json,9373723,7122754
delhi,2018,3.json,18547048,9373723
delhi,2018,4.json,29187719,18547048
delhi,2019,1.json,47007327,29187719
delhi,2019,2.json,57171512,47007327
delhi,2019,3.json,69537876,57171512
delhi,2019,4.json,80744997,69537876
delhi,2020,1.json,81747604,80744997
delhi,2020,2.json,66042018,81747604
delhi,2020,3.json,96491861,66042018
delhi,2020,4.json,120540417,96491861
delhi,2021,1.json,157359004,120540417
delhi,2021,2.json,170157264,157359004
delhi,2021,3.json,238760608,170157264
delhi,2021,4.json,292683359,238760608
delhi,2022,1.json,330999861,292683359
delhi,2022,2.json,410634184,330999861
delhi,2022,3.json,475592161,410634184
delhi,2022,4.json,515203457,475592161
delhi,2023,1.json,409753103,515203457
delhi,2023,2.json,482138998,409753103
delhi,2023,3.json,546706983,482138998
delhi,2023,4.json,598150746,546706983
delhi,2024,1.json,650734058,598150746
delhi,2024,2.json,777540400,650734058
delhi,2024,3.json,844844523,777540400
delhi,2024,4.json,910543082,844844523
goa,2018,1.json,160897,NULL
goa,2018,2.json,229575,160897
goa,2018,3.json,339511,229575
goa,2018,4.json,514755,339511
goa,2019,1.json,738812,514755
goa,2019,2.json,768441,738812
goa,2019,3.json,1092416,768441
goa,2019,4.json,1515272,1092416
goa,2020,1.json,1881237,1515272
goa,2020,2.json,1482092,1881237
goa,2020,3.json,1915531,1482092
goa,2020,4.json,3801381,1915531
goa,2021,1.json,5331549,3801381
goa,2021,2.json,4710135,5331549
goa,2021,3.json,6467763,4710135
goa,2021,4.json,11088759,6467763
goa,2022,1.json,12214098,11088759
goa,2022,2.json,14216054,12214098
goa,2022,3.json,13188687,14216054
goa,2022,4.json,17192674,13188687
goa,2023,1.json,24195070,17192674
goa,2023,2.json,26530590,24195070
goa,2023,3.json,26999728,26530590
goa,2023,4.json,33460978,26999728
goa,2024,1.json,35013987,33460978
goa,2024,2.json,37000806,35013987
goa,2024,3.json,36762111,37000806
goa,2024,4.json,46131536,36762111
gujarat,2018,1.json,5948775,NULL
gujarat,2018,2.json,7745733,5948775
gujarat,2018,3.json,11334149,7745733
gujarat,2018,4.json,14733303,11334149
gujarat,2019,1.json,24991451,14733303
gujarat,2019,2.json,28981842,24991451
gujarat,2019,3.json,38228649,28981842
gujarat,2019,4.json,42547632,38228649
gujarat,2020,1.json,47326417,42547632
gujarat,2020,2.json,47420185,47326417
gujarat,2020,3.json,59290179,47420185
gujarat,2020,4.json,77828547,59290179
gujarat,2021,1.json,94774565,77828547
gujarat,2021,2.json,111841396,94774565
gujarat,2021,3.json,149248407,111841396
gujarat,2021,4.json,182987325,149248407
gujarat,2022,1.json,210547146,182987325
gujarat,2022,2.json,252052796,210547146
gujarat,2022,3.json,303239732,252052796
gujarat,2022,4.json,341156018,303239732
gujarat,2023,1.json,362511326,341156018
gujarat,2023,2.json,416922553,362511326
gujarat,2023,3.json,479303590,416922553
gujarat,2023,4.json,534115578,479303590
gujarat,2024,1.json,606576671,534115578
gujarat,2024,2.json,690395153,606576671
gujarat,2024,3.json,757441250,690395153
gujarat,2024,4.json,827374966,757441250
haryana,2018,1.json,4480770,NULL
haryana,2018,2.json,6150931,4480770
haryana,2018,3.json,8262024,6150931
haryana,2018,4.json,12950183,8262024
haryana,2019,1.json,22135775,12950183
haryana,2019,2.json,22741816,22135775
haryana,2019,3.json,30343531,22741816
haryana,2019,4.json,37825985,30343531
haryana,2020,1.json,44036087,37825985
haryana,2020,2.json,41781050,44036087
haryana,2020,3.json,57938179,41781050
haryana,2020,4.json,83171439,57938179
haryana,2021,1.json,90252784,83171439
haryana,2021,2.json,105680856,90252784
haryana,2021,3.json,140459693,105680856
haryana,2021,4.json,169686975,140459693
haryana,2022,1.json,191988609,169686975
haryana,2022,2.json,234699962,191988609
haryana,2022,3.json,269361810,234699962
haryana,2022,4.json,296648365,269361810
haryana,2023,1.json,381318464,296648365
