state_name,year,quarter_file,payment_type,total_transactions,total_amount
chandigarh,2023,2.json,TOTAL,11553687,14414408750
chandigarh,2023,3.json,TOTAL,13052165,15426783311
chandigarh,2023,4.json,TOTAL,13280078,16281223001
chandigarh,2024,1.json,TOTAL,13155173,15842176181
chandigarh,2024,2.json,TOTAL,15940973,17556903812
chandigarh,2024,3.json,TOTAL,17708385,19259257876
chandigarh,2024,4.json,TOTAL,18528444,20501385889
chhattisgarh,2018,1.json,TOTAL,1891514,2149155557.064
chhattisgarh,2018,2.json,TOTAL,2816156,4264170443.5269995
chhattisgarh,2018,3.json,TOTAL,3859604,6302307073.707
chhattisgarh,2018,4.json,TOTAL,5365844,9416412664.496
chhattisgarh,2019,1.json,TOTAL,7887669,12544556384.942999
chhattisgarh,2019,2.json,TOTAL,9389945,17002355688.974
chhattisgarh,2019,3.json,TOTAL,12243111,19803259168.229
chhattisgarh,2019,4.json,TOTAL,16305758,27143788737.704002
chhattisgarh,2020,1.json,TOTAL,19523991,32860597670.903
chhattisgarh,2020,2.json,TOTAL,18820925,32268382207.05
chhattisgarh,2020,3.json,TOTAL,24148539,41526744807.079994
chhattisgarh,2020,4.json,TOTAL,35529636,62214974283.579994
chhattisgarh,2021,1.json,TOTAL,39436437,69409843261.45999
chhattisgarh,2021,2.json,TOTAL,44689420,78728771258.91
chhattisgarh,2021,3.json,TOTAL,64237938,104606108262.4
chhattisgarh,2021,4.json,TOTAL,84717494,136399113203
chhattisgarh,2022,1.json,TOTAL,97413292,157847184934.11
chhattisgarh,2022,2.json,TOTAL,116584048,181181729924.96
chhattisgarh,2022,3.json,TOTAL,158252587,220161343653.34
chhattisgarh,2022,4.json,TOTAL,177960446,252519300117.63
chhattisgarh,2023,1.json,TOTAL,214748957,301089252454
chhattisgarh,2023,2.json,TOTAL,249931636,333157040291
chhattisgarh,2023,3.json,TOTAL,283492657,350379442517
chhattisgarh,2023,4.json,TOTAL,321876332,403984749633
chhattisgarh,2024,1.json,TOTAL,366176684,463010004619
chhattisgarh,2024,2.json,TOTAL,412047705,496313574007
chhattisgarh,2024,3.json,TOTAL,443640102,497360014741
chhattisgarh,2024,4.json,TOTAL,500655404,576827823840
dadra-&-nagar-haveli-&-daman-&-diu,2018,1.json,TOTAL,148549,175658384.06339997
dadra-&-nagar-haveli-&-daman-&-diu,2018,2.json,TOTAL,202626,302070771.70350003
dadra-&-nagar-haveli-&-daman-&-diu,2018,3.json,TOTAL,289575,447639595.6639
dadra-&-nagar-haveli-&-daman-&-diu,2018,4.json,TOTAL,404082,658750616.7871
